FluxView - FluxMed acquisition system
Signal file
Serial Number	:
SW version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
1377.00000000	39.6	23665	2.8	-1.9	4.6	-1.4	0.5	3.4	
1377.00390600	39.4	23668	2.8	-2.1	4.8	-1.6	0.5	3.0	
1377.00781300	39.3	23670	2.8	-2.3	5.0	-1.9	0.4	2.5	
1377.01171900	39.3	23673	2.9	-2.4	5.3	-1.9	0.5	2.0	
1377.01562500	39.4	23676	2.8	-2.6	5.3	-2.1	0.5	1.7	
1377.01953100	39.5	23678	2.6	-2.8	5.4	-2.3	0.5	1.5	
1377.02343800	39.6	23681	2.4	-2.8	5.2	-2.3	0.5	1.3	
1377.02734400	39.4	23683	2.6	-2.9	5.6	-2.6	0.4	1.1	
1377.03125000	39.3	23686	2.4	-3.1	5.6	-2.6	0.6	0.8	
1377.03515600	39.1	23688	2.8	-3.3	6.0	-2.8	0.5	0.6	
1377.03906300	39.2	23691	2.8	-3.3	6.0	-2.9	0.3	0.4	
1377.04296900	39.3	23694	2.6	-3.6	6.3	-3.1	0.5	0.2	
1377.04687500	39.5	23696	2.4	-3.8	6.3	-3.3	0.6	0.1	
1377.05078100	39.8	23699	2.6	-3.8	6.4	-3.3	0.6	0.1	
1377.05468800	40.1	23701	2.6	-4.1	6.8	-3.4	0.7	0.1	
1377.05859400	40.5	23704	2.6	-4.3	6.9	-3.8	0.5	0.1	
1377.06250000	40.9	23707	2.8	-4.3	7.1	-3.8	0.5	0.1	
1377.06640600	41.3	23709	2.3	-4.5	6.8	-3.9	0.6	0.0	
1377.07031300	41.6	23712	2.4	-4.7	7.1	-3.9	0.8	0.0	
1377.07421900	41.8	23715	2.4	-4.8	7.3	-4.3	0.5	0.0	
1377.07812500	42.1	23717	2.4	-5.0	7.4	-4.5	0.5	0.0	
1377.08203100	42.3	23720	2.3	-5.2	7.4	-4.7	0.5	0.0	
1377.08593800	42.6	23723	2.4	-5.5	7.9	-4.8	0.7	0.0	
1377.08984400	42.9	23726	2.6	-5.5	8.1	-5.0	0.5	0.0	
1377.09375000	43.0	23729	2.3	-5.9	8.1	-5.2	0.7	0.0	
1377.09765600	43.1	23731	2.4	-6.3	8.7	-5.7	0.6	0.0	
1377.10156300	43.2	23734	2.4	-6.4	8.8	-5.9	0.5	0.0	
1377.10546900	43.3	23737	2.4	-6.6	9.0	-6.1	0.5	0.0	
1377.10937500	43.3	23740	2.4	-6.8	9.2	-6.3	0.5	0.0	
1377.11328100	43.4	23743	2.4	-6.9	9.4	-6.4	0.6	0.0	
1377.11718800	43.5	23745	2.4	-7.1	9.5	-6.6	0.5	0.0	
1377.12109400	43.6	23748	2.4	-6.9	9.4	-6.6	0.4	0.0	
1377.12500000	43.7	23751	2.3	-7.1	9.3	-6.8	0.3	0.0	
1377.12890600	43.6	23754	2.3	-7.1	9.3	-6.6	0.5	0.0	
1377.13281300	43.6	23757	2.3	-7.3	9.5	-6.8	0.5	0.0	
1377.13671900	43.6	23760	2.3	-7.1	9.3	-6.9	0.1	0.0	
1377.14062500	43.8	23763	2.1	-7.4	9.5	-7.1	0.4	0.0	
1377.14453100	44.1	23765	2.3	-7.6	9.9	-7.3	0.4	0.0	
1377.14843800	44.6	23768	2.3	-7.6	9.9	-7.3	0.4	0.0	
1377.15234400	45.1	23771	2.3	-7.8	10.1	-7.4	0.4	0.0	
1377.15625000	45.4	23774	2.1	-7.9	10.0	-7.6	0.3	0.0	
1377.16015600	45.6	23777	2.3	-8.1	10.4	-7.6	0.5	0.0	
1377.16406300	45.8	23780	2.3	-8.1	10.4	-7.8	0.3	0.0	
1377.16796900	45.8	23783	2.1	-8.3	10.4	-7.9	0.4	0.0	
1377.17187500	45.8	23786	2.1	-8.3	10.4	-7.9	0.4	0.0	
1377.17578100	45.8	23789	2.1	-8.5	10.6	-8.1	0.4	0.0	
1377.17968800	45.8	23792	2.1	-8.5	10.6	-8.1	0.4	0.0	
1377.18359400	45.8	23795	2.1	-8.5	10.6	-8.1	0.4	0.0	
1377.18750000	45.9	23798	2.1	-8.5	10.6	-8.3	0.2	0.0	
1377.19140600	46.1	23801	2.1	-8.5	10.6	-8.1	0.4	0.0	
1377.19531300	46.4	23804	2.4	-8.5	10.9	-8.1	0.4	0.0	
1377.19921900	46.6	23807	2.3	-8.5	10.8	-8.1	0.4	0.0	
1377.20312500	46.9	23810	2.4	-8.5	10.9	-8.1	0.4	0.0	
1377.20703100	47.1	23813	2.4	-8.5	10.9	-8.1	0.4	0.0	
1377.21093800	47.3	23816	2.4	-8.5	10.9	-8.1	0.4	0.0	
1377.21484400	47.3	23819	2.6	-8.5	11.1	-8.1	0.4	0.0	
1377.21875000	47.3	23822	2.6	-8.5	11.1	-8.1	0.4	0.0	
1377.22265600	47.1	23825	2.9	-8.6	11.6	-8.1	0.5	0.0	
1377.22656300	46.8	23829	2.8	-8.6	11.4	-8.3	0.3	0.0	
